Source	Target	Reaction Name	Mass
C=CC	129_0	Michael Addition 2,2, 	42.046950192
C(C=C)#N	129_0	Michael Addition 2,2, 	53.026549101
129_0	C(CCCC=C)#N	Michael Addition 2,2, 	95.073499293
C(CCC)#N	131_0	Michael Addition 2,2, (reverse)	69.057849229
131_0	C(C=C)#N	Michael Addition 2,2, (reverse)	53.026549101
131_0	C	Michael Addition 2,2, (reverse)	16.031300127999998
C(C)=O	133_0	Aldol Condensation	44.026214748
C(C)=O	133_0	Aldol Condensation	44.026214748
133_0	C(CC(C)O)=O	Aldol Condensation	88.052429496
C(C)=O	135_0	Aldol Condensation	44.026214748
C(C=O)#N	135_0	Aldol Condensation	55.005813657000004
135_0	C(C(CC=O)O)#N	Aldol Condensation	99.032028405
C=O	137_0	Aldol Condensation	30.010564684
C(C)=O	137_0	Aldol Condensation	44.026214748
137_0	C(CCO)=O	Aldol Condensation	74.036779432
C=O	139_0	Cannizarro 2, HCHO (oxidation)	30.010564684
O	139_0	Cannizarro 2, HCHO (oxidation)	18.010564684
C(C)=O	139_0	Cannizarro 2, HCHO (oxidation)	44.026214748
139_0	C(O)=O	Cannizarro 2, HCHO (oxidation)	46.005479304
139_0	CCO	Cannizarro 2, HCHO (oxidation)	46.041864812
C=O	140_0	Cannizarro 2, HCHO (oxidation)	30.010564684
O	140_0	Cannizarro 2, HCHO (oxidation)	18.010564684
C(C=O)#N	140_0	Cannizarro 2, HCHO (oxidation)	55.005813657000004
140_0	C(O)=O	Cannizarro 2, HCHO (oxidation)	46.005479304
140_0	C(CO)#N	Cannizarro 2, HCHO (oxidation)	57.021463721
C=O	142_0	Cannizarro 2, HCHO (reduction)	30.010564684
O	142_0	Cannizarro 2, HCHO (reduction)	18.010564684
C(C)=O	142_0	Cannizarro 2, HCHO (reduction)	44.026214748
142_0	CO	Cannizarro 2, HCHO (reduction)	32.026214748
142_0	C(C)(O)=O	Cannizarro 2, HCHO (reduction)	60.021129368
C=O	144_0	Cannizarro 2, HCHO (reduction)	30.010564684
O	144_0	Cannizarro 2, HCHO (reduction)	18.010564684
C(C=O)#N	144_0	Cannizarro 2, HCHO (reduction)	55.005813657000004
144_0	CO	Cannizarro 2, HCHO (reduction)	32.026214748
144_0	C(C(O)=O)#N	Cannizarro 2, HCHO (reduction)	71.000728277
C#C	145_0	Alkyne Addition, N, HC	26.015650064
C=CC(N)=N	145_0	Alkyne Addition, N, HC	70.053098202
145_0	C=CNC(C=C)=N	Alkyne Addition, N, HC	96.068748266
C#C	146_0	Alkyne Addition, N, HC	26.015650064
C(C(N)=N)=N	146_0	Alkyne Addition, N, HC	71.048347175
146_0	C=CNC(C=N)=N	Alkyne Addition, N, HC	97.063997239
C#C	147_0	Alkyne Addition, N, HC	26.015650064
C(C(C)N)#N	147_0	Alkyne Addition, N, HC	70.053098202
147_0	C(C(C)NC=C)#N	Alkyne Addition, N, HC	96.068748266
C#C	148_0	Alkyne Addition, N, HC	26.015650064
C(CCN)#N	148_0	Alkyne Addition, N, HC	70.053098202
148_0	C(CCNC=C)#N	Alkyne Addition, N, HC	96.068748266
C#C	150_0	Alkyne Addition, N, HC	26.015650064
C(CN)O	150_0	Alkyne Addition, N, HC	61.052763849
150_0	C=CNCCO	Alkyne Addition, N, HC	87.068413913
C#C	151_0	Alkyne Addition, N, HC	26.015650064
C(CN)N	151_0	Alkyne Addition, N, HC	60.068748266
151_0	C(NCCN)=C	Alkyne Addition, N, HC	86.08439833
C#C	153_0	Alkyne Addition, N, CC	26.015650064
C=CNC=C	153_0	Alkyne Addition, N, CC	69.057849229
153_0	C(N(C=C)C=C)=C	Alkyne Addition, N, CC	95.073499293
C#C	155_0	Alkyne Addition, N, CC	26.015650064
C(NC=C)=N	155_0	Alkyne Addition, N, CC	70.053098202
155_0	C(N(C=C)C=C)=N	Alkyne Addition, N, CC	96.068748266
C#C	157_0	Alkyne Addition, N, CC	26.015650064
C(NC=N)=N	157_0	Alkyne Addition, N, CC	71.048347175
157_0	C(N(C=N)C=C)=N	Alkyne Addition, N, CC	97.063997239
C(C(CO)O)#N	158_0	Knoevenagel H (inv)	87.032028405
158_0	C=O	Knoevenagel H (inv)	30.010564684
158_0	C(CO)#N	Knoevenagel H (inv)	57.021463721
C#N	159_0	Nitrile Amination	27.010899037
C=CNC=C	159_0	Nitrile Amination	69.057849229
159_0	C(N(C=C)C=C)=N	Nitrile Amination	96.068748266
C#N	160_0	Nitrile Amination	27.010899037
C(NC=C)=N	160_0	Nitrile Amination	70.053098202
160_0	C(N(C=N)C=C)=N	Nitrile Amination	97.063997239
C#N	161_0	Nitrile Amination	27.010899037
C=CC(N)=N	161_0	Nitrile Amination	70.053098202
161_0	C(NC(C=C)=N)=N	Nitrile Amination	97.063997239
C#N	163_0	Nitrile Amination	27.010899037
C(NC=N)=N	163_0	Nitrile Amination	71.048347175
163_0	C(N(C=N)C=N)=N	Nitrile Amination	98.059246212
C#N	164_0	Nitrile Amination	27.010899037
C(C(N)=N)=N	164_0	Nitrile Amination	71.048347175
164_0	C(NC(C=N)=N)=N	Nitrile Amination	98.059246212
C#N	166_0	Nitrile Amination	27.010899037
C(NC=N)=O	166_0	Nitrile Amination	72.032362758
166_0	C(N(C=N)C=N)=O	Nitrile Amination	99.043261795
N	168_0	Nitrile Amination	17.026549101
C(C(C#N)N)#N	168_0	Nitrile Amination	81.032697111
168_0	C(C(C(N)=N)N)#N	Nitrile Amination	98.059246212
C#N	170_0	Nitrile Amination	27.010899037
C(C(C)N)#N	170_0	Nitrile Amination	70.053098202
170_0	C(C(C)NC=N)#N	Nitrile Amination	97.063997239
N	172_0	Nitrile Amination	17.026549101
C(C(C)N)#N	172_0	Nitrile Amination	70.053098202
172_0	C(C(C)N)(N)=N	Nitrile Amination	87.079647303
C#N	173_0	Nitrile Amination	27.010899037
C(CCN)#N	173_0	Nitrile Amination	70.053098202
173_0	C(CCNC=N)#N	Nitrile Amination	97.063997239
N	175_0	Nitrile Amination	17.026549101
C(CCN)#N	175_0	Nitrile Amination	70.053098202
175_0	C(CCN)(N)=N	Nitrile Amination	87.079647303
N	177_0	Nitrile Amination	17.026549101
C(C(C#N)C)#N	177_0	Nitrile Amination	80.037448138
177_0	C(C(C(N)=N)C)#N	Nitrile Amination	97.063997239
N	179_0	Nitrile Amination	17.026549101
C(CCC#N)#N	179_0	Nitrile Amination	80.037448138
179_0	C(CCC(N)=N)#N	Nitrile Amination	97.063997239
C#N	181_0	Nitrile Amination	27.010899037
C(CN)O	181_0	Nitrile Amination	61.052763849
181_0	C(NCCO)=N	Nitrile Amination	88.063662886
N	183_0	Nitrile Amination	17.026549101
C(C(C)O)#N	183_0	Nitrile Amination	71.037113785
183_0	C(C(C)O)(N)=N	Nitrile Amination	88.063662886
N	185_0	Nitrile Amination	17.026549101
C(CCO)#N	185_0	Nitrile Amination	71.037113785
185_0	C(CCO)(N)=N	Nitrile Amination	88.063662886
C#N	187_0	Nitrile Amination	27.010899037
C(CN)N	187_0	Nitrile Amination	60.068748266
187_0	C(NCCN)=N	Nitrile Amination	87.079647303
N	189_0	Nitrile Amination	17.026549101
C(C=O)#N	189_0	Nitrile Amination	55.005813657000004
189_0	C(C(N)=N)=O	Nitrile Amination	72.032362758
C=CN	191_0	Nitrile Amination	43.042199165
C(C=O)#N	191_0	Nitrile Amination	55.005813657000004
191_0	C=CNC(C=O)=N	Nitrile Amination	98.048012822
C(N)=N	193_0	Nitrile Amination	44.037448138
C(C=O)#N	193_0	Nitrile Amination	55.005813657000004
193_0	C(NC(C=O)=N)=N	Nitrile Amination	99.043261795
C#N	195_0	Nitrile Amination	27.010899037
C=CC(N)=O	195_0	Nitrile Amination	71.037113785
195_0	C(NC(C=C)=O)=N	Nitrile Amination	98.048012822
C#N	197_0	Nitrile Amination	27.010899037
C(C=N)(N)=O	197_0	Nitrile Amination	72.03236275799999
197_0	C(NC(C=N)=O)=N	Nitrile Amination	99.043261795
O	198_0	Amide Hydrolysis	18.010564684
C(NC(C=C)=N)=O	198_0	Amide Hydrolysis	98.048012822
198_0	C(O)=O	Amide Hydrolysis	46.005479304
198_0	C=CC(N)=N	Amide Hydrolysis	70.053098202
O	199_0	Amide Hydrolysis	18.010564684
C(NC(C=N)=N)=O	199_0	Amide Hydrolysis	99.043261795
199_0	C(O)=O	Amide Hydrolysis	46.005479304
199_0	C(C(N)=N)=N	Amide Hydrolysis	71.048347175
O	200_0	Amide Hydrolysis	18.010564684
C(NC=N)=O	200_0	Amide Hydrolysis	72.032362758
200_0	C(O)=O	Amide Hydrolysis	46.005479304
200_0	C(N)=N	Amide Hydrolysis	44.037448138
O	202_0	Amide Hydrolysis	18.010564684
C=CC(N)=O	202_0	Amide Hydrolysis	71.037113785
202_0	N	Amide Hydrolysis	17.026549101
202_0	C=CC(O)=O	Amide Hydrolysis	72.021129368
O	204_0	Amide Hydrolysis	18.010564684
C(C=N)(N)=O	204_0	Amide Hydrolysis	72.03236275799999
204_0	N	Amide Hydrolysis	17.026549101
204_0	C(C=N)(O)=O	Amide Hydrolysis	73.016378341
O	206_0	Amide Hydrolysis	18.010564684
C(C(C)C)(N)=O	206_0	Amide Hydrolysis	87.068413913
206_0	N	Amide Hydrolysis	17.026549101
206_0	C(C(C)C)(O)=O	Amide Hydrolysis	88.052429496
O	208_0	Amide Hydrolysis	18.010564684
C(CCC)(N)=O	208_0	Amide Hydrolysis	87.068413913
208_0	N	Amide Hydrolysis	17.026549101
208_0	C(CCC)(O)=O	Amide Hydrolysis	88.052429496
O	210_0	Amide Hydrolysis	18.010564684
C(CO)(N)=O	210_0	Amide Hydrolysis	75.03202840499999
210_0	N	Amide Hydrolysis	17.026549101
210_0	C(CO)(O)=O	Amide Hydrolysis	76.01604398799999
C#N	211_0	Alkene Addition, CN	27.010899037
C=CNC=C	211_0	Alkene Addition, CN	69.057849229
211_0	C(C(C)NC=C)#N	Alkene Addition, CN	96.068748266
C#N	212_0	Alkene Addition, CN	27.010899037
C=CNC=C	212_0	Alkene Addition, CN	69.057849229
212_0	C(CCNC=C)#N	Alkene Addition, CN	96.068748266
C#N	213_0	Alkene Addition, CN	27.010899037
C(NC=C)=N	213_0	Alkene Addition, CN	70.053098202
213_0	C(C(C)NC=N)#N	Alkene Addition, CN	97.063997239
C#N	214_0	Alkene Addition, CN	27.010899037
C(NC=C)=N	214_0	Alkene Addition, CN	70.053098202
214_0	C(CCNC=N)#N	Alkene Addition, CN	97.063997239
C#N	215_0	Alkene Addition, CN	27.010899037
C=CC(N)=N	215_0	Alkene Addition, CN	70.053098202
215_0	C(C(C(N)=N)C)#N	Alkene Addition, CN	97.063997239
C#N	216_0	Alkene Addition, CN	27.010899037
C=CC(N)=N	216_0	Alkene Addition, CN	70.053098202
216_0	C(CCC(N)=N)#N	Alkene Addition, CN	97.063997239
C#N	218_0	Alkene Addition, CN	27.010899037
C=CC(N)=O	218_0	Alkene Addition, CN	71.037113785
218_0	C(C(C(N)=O)C)#N	Alkene Addition, CN	98.048012822
C#N	220_0	Alkene Addition, CN	27.010899037
C=CC(N)=O	220_0	Alkene Addition, CN	71.037113785
220_0	C(CCC(N)=O)#N	Alkene Addition, CN	98.048012822
C(C(CO)O)#N	222_0	Elimination + enol to keto	87.032028405
222_0	O	Elimination + enol to keto	18.010564684
222_0	C(CC=O)#N	Elimination + enol to keto	69.021463721
C(C(CO)O)#N	224_0	Elimination + enol to keto	87.032028405
224_0	O	Elimination + enol to keto	18.010564684
224_0	C(C(C)=O)#N	Elimination + enol to keto	69.021463721
C(CN)O	225_0	Elimination2	61.052763849
225_0	O	Elimination2	18.010564684
225_0	C=CN	Elimination2	43.042199165
C(CN)O	225_1	Dehydration of Amines	61.052763849
225_1	O	Dehydration of Amines	18.010564684
225_1	C=CN	Dehydration of Amines	43.042199165
C(C(C)O)#N	226_0	Elimination2	71.037113785
226_0	O	Elimination2	18.010564684
226_0	C(C=C)#N	Elimination2	53.026549101
C(CCO)#N	227_0	Elimination2	71.037113785
227_0	O	Elimination2	18.010564684
227_0	C(C=C)#N	Elimination2	53.026549101
C(CCCO)#N	229_0	Elimination2	85.052763849
229_0	O	Elimination2	18.010564684
229_0	C(CC=C)#N	Elimination2	67.042199165
O	230_0	Deydration of Amines (inverse)	18.010564684
C=CNC=C	230_0	Deydration of Amines (inverse)	69.057849229
230_0	C=CNCCO	Deydration of Amines (inverse)	87.068413913
O	230_1	Hydration of C=C(O)	18.010564684
C=CNC=C	230_1	Hydration of C=C(O)	69.057849229
230_1	C=CNCCO	Hydration of C=C(O)	87.068413913
O	232_0	Hydration of C(=O)C	18.010564684
C(C)=O	232_0	Hydration of C(=O)C	44.026214748
232_0	C(CO)O	Hydration of C(=O)C	62.036779431999996
O	233_0	Hydration of C=C(O)	18.010564684
C(NC=C)=N	233_0	Hydration of C=C(O)	70.053098202
233_0	C(NCCO)=N	Hydration of C=C(O)	88.063662886
O	234_0	Hydration of C=C(O)	18.010564684
C=CC(N)=N	234_0	Hydration of C=C(O)	70.053098202
234_0	C(C(C)O)(N)=N	Hydration of C=C(O)	88.063662886
O	235_0	Hydration of C=C(O)	18.010564684
C=CC(N)=N	235_0	Hydration of C=C(O)	70.053098202
235_0	C(CCO)(N)=N	Hydration of C=C(O)	88.063662886
O	237_0	Hydration of C=C(O)	18.010564684
C=CC(N)=O	237_0	Hydration of C=C(O)	71.037113785
237_0	C(C(C)O)(N)=O	Hydration of C=C(O)	89.047678469
O	239_0	Hydration of C=C(O)	18.010564684
C=CC(N)=O	239_0	Hydration of C=C(O)	71.037113785
239_0	C(CCO)(N)=O	Hydration of C=C(O)	89.047678469
O	240_0	Enamine Hydration and Elimination	18.010564684
C=CNC=C	240_0	Enamine Hydration and Elimination	69.057849229
240_0	C=CN	Enamine Hydration and Elimination	43.042199165
240_0	C(C)=O	Enamine Hydration and Elimination	44.026214748
O	241_0	Enamine Hydration and Elimination	18.010564684
C=CNC(C)C	241_0	Enamine Hydration and Elimination	85.089149357
241_0	CC(C)N	Enamine Hydration and Elimination	59.073499293
241_0	C(C)=O	Enamine Hydration and Elimination	44.026214748
O	242_0	Enamine Hydration and Elimination	18.010564684
C=CNCCC	242_0	Enamine Hydration and Elimination	85.089149357
242_0	CCCN	Enamine Hydration and Elimination	59.073499293
242_0	C(C)=O	Enamine Hydration and Elimination	44.026214748
O	243_0	Enamine Hydration and Elimination	18.010564684
C(NCCN)=C	243_0	Enamine Hydration and Elimination	86.08439833
243_0	C(C)=O	Enamine Hydration and Elimination	44.026214748
243_0	C(CN)N	Enamine Hydration and Elimination	60.068748266
O	244_0	Enamine Hydration and Elimination	18.010564684
C(C(C)NC=C)#N	244_0	Enamine Hydration and Elimination	96.068748266
244_0	C(C(C)N)#N	Enamine Hydration and Elimination	70.053098202
